model,auroc_stage1,gini_stage1,n_train,n_test,mae,bias,correlation,rmse,r2,mean_lgd_pred,mean_lgd_actual
Model 1 — 2-Stage,0.5453,0.0905,216464,52785,0.0442,-0.0045,-0.0112,0.0901,-0.0445,0.851,0.8555
Model 2 — Direct Beta,,,216454,52777,0.1347,0.1342,-0.0156,0.1608,-2.3228,0.9897,0.8555
