loan_id,month,EAD,segment,funded_amnt,PD_t,PD_default,LGD,ECL_t
68338634,1,8000.0,36_C,8000.0,0.0016558047989089,0.1326608353295386,0.85,11.259472632581108
68338634,2,7819.88,36_C,8000.0,0.0023363686357486,0.1326608353295386,0.85,15.529604012220746
68338634,3,7637.67,36_C,8000.0,0.0034940287705791,0.1326608353295386,0.85,22.683302912160755
68338634,4,7453.33,36_C,8000.0,0.0043383021214352,0.1326608353295386,0.85,27.48457774814356
68338634,5,7266.84,36_C,8000.0,0.0050188659582749,0.1326608353295386,0.85,31.00060151519631
68338634,6,7078.18,36_C,8000.0,0.0054164462066005,0.1326608353295386,0.85,32.5877940290407
68338634,7,6887.32,36_C,8000.0,0.005734510405261,0.1326608353295386,0.85,33.57109697370825
68338634,8,6694.23,36_C,8000.0,0.0059590263101978,0.1326608353295386,0.85,33.90742879203855
68338634,9,6498.89,36_C,8000.0,0.0061274132389004,0.1326608353295386,0.85,33.848176930534294
68338634,10,6301.27,36_C,8000.0,0.0062326550693396,0.1326608353295386,0.85,33.38259604746101
68338634,11,6101.35,36_C,8000.0,0.0061858809224777,0.1326608353295386,0.85,32.08089088140585
68338634,12,5899.1,36_C,8000.0,0.0063566065585234,0.1326608353295386,0.85,31.873519086978
68338634,13,5694.49,36_C,8000.0,0.0062256389473103,0.1326608353295386,0.85,30.13406291970888
68338634,14,5487.5,36_C,8000.0,0.0056082202087341,0.1326608353295386,0.85,26.158842136114163
68338634,15,5278.09,36_C,8000.0,0.0054234623286298,0.1326608353295386,0.85,24.33169393980028
68338634,16,5066.24,36_C,8000.0,0.0052293496191532,0.1326608353295386,0.85,22.519169182358077
68338634,17,4851.93,36_C,8000.0,0.0049837853481286,0.1326608353295386,0.85,20.553830997523775
68338634,18,4635.11,36_C,8000.0,0.0047124952963299,0.1326608353295386,0.85,18.56649396202615
68338634,19,4415.77,36_C,8000.0,0.0042962053892596,0.1326608353295386,0.85,16.1253966409713
68338634,20,4193.86,36_C,8000.0,0.0040576572402642,0.1326608353295386,0.85,14.464659434606446
68338634,21,3969.37,36_C,8000.0,0.0037512865783192,0.1326608353295386,0.85,12.65670774457555
68338634,22,3742.27,36_C,8000.0,0.003620318967106,0.1326608353295386,0.85,11.515979401877292
68338634,23,3512.52,36_C,8000.0,0.0032204000114373,0.1326608353295386,0.85,9.614961530947962
68338634,24,3280.08,36_C,8000.0,0.0031011259369397,0.1326608353295386,0.85,8.64614998875163
68338634,25,3044.94,36_C,8000.0,0.0028695939099736,0.1326608353295386,0.85,7.427080088199827
