term,n_loans,total_exposure,ecl_stage1,ecl_stage2,coverage_stage1,coverage_stage2
36,1023181,12825317600.0,622759046.7198769,1073088549.3350714,0.048557007798378175,0.08366954977669103
60,324878,6586986075.0,659119689.6637293,1430764437.0580542,0.10006392637830638,0.2172107881764505
