split,n,mean_actual,mean_pred,mae,bias,correlation,rmse,r2
train,216464,0.6649,0.6649,0.1653,-0.0,0.3957,0.2053,0.1566
test,52785,0.8296,0.6725,0.173,-0.157,0.4216,0.2012,-1.3048
