Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Final,Difference
addr_state:TX_AK,0.19366710908028728,0.0,addr_state,18.608962022727397,19.0,0.39103797727260314
addr_state:CA,0.2176487311593928,0.0,addr_state,20.913292874944887,21.0,0.08670712505511347
addr_state:MA_GA_RI_IL_UT,0.28065224516607373,0.0,addr_state,26.967134464342767,27.0,0.03286553565723338
addr_state:WI_CT_MT_WY_SC_KS,0.3875579933546816,0.0,addr_state,37.23942601400558,37.0,-0.2394260140055806
addr_state:WV_WA_CO_ME_OR_NH_VT_DC,0.5211891291191719,0.0,addr_state,50.07968961015614,50.0,-0.07968961015613729
grade:G,0.0,,grade,0.0,0.0,0.0
verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0
inq_last_6mths:>2,0.0,,inq_last_6mths,0.0,0.0,0.0
mths_since_earliest_cr_line:<250,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0
annual_inc:<30K,0.0,,annual_inc,0.0,0.0,0.0
dti:>=30.2,0.0,,dti,0.0,0.0,0.0
installment:>798.687,0.0,,installment,0.0,0.0,0.0
total_rev_hi_lim:<=20K,0.0,,total_rev_hi_lim,0.0,0.0,0.0
home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0
int_rate:>22.772,0.0,,int_rate,0.0,0.0,0.0
term:60,0.0,,term,0.0,0.0,0.0
purpose:small_business_renewable_energy_moving_house_medical,0.0,,purpose,0.0,0.0,0.0
addr_state:NE_MS_AL_AR_OK,0.0,,addr_state,0.0,0.0,0.0
