grade,n_loans,total_exposure,avg_pd,ecl_stage1,ecl_stage2,coverage_stage1,coverage_stage2
A,235188,3264223800.0,0.058840566664709285,49556262.988414586,96986988.26777041,0.015181637664799389,0.029712113571309175
B,393095,5198710375.0,0.1301894277113058,187336990.31812733,379688587.63043135,0.03603528121493541,0.0730351491508952
C,382315,5419205575.0,0.21705041440461006,362139299.6204305,728901957.1831132,0.06682516369023896,0.13450347049864653
D,201644,3073622450.0,0.2967198667388756,310267405.1577122,597097794.4180367,0.10094519096114496,0.19426517216453723
E,94186,1652529075.0,0.385084007212267,237881499.9939016,440693861.4758948,0.14394996347879785,0.2666784313467494
F,32305,613913950.0,0.44913888201499014,100884660.27459466,194694155.87197533,0.16433029461962,0.3171359045872395
G,9326,190098450.0,0.49128327359366086,33812618.03042523,65789641.545904055,0.17786898331062262,0.3460819462015816
