bin_center,train_proportion,monitoring_proportion,train_count,monitoring_count
312.5,0.0,0.0,0,0
337.5,1.8448720857939316e-06,0.0,2,0
362.5,0.0002315314467671384,0.0,251,0
387.5,0.0023549792175159537,0.0,2553,0
412.5,0.009897738740284443,0.004094631483166515,10730,9
437.5,0.023599603721475973,0.012283894449499545,25584,27
462.5,0.040881442985150625,0.03503184713375796,44319,77
487.5,0.05948790040642532,0.047315741583257506,64490,104
512.5,0.08199533985311129,0.07597816196542312,88890,167
537.5,0.10418453886499779,0.10009099181073704,112945,220
562.5,0.11727298387766284,0.1164695177434031,127134,256
587.5,0.12062696132963621,0.11555959963603275,130770,254
612.5,0.11223187090323092,0.11237488626023658,121669,247
637.5,0.09174548882653222,0.08507734303912648,99460,187
662.5,0.06973339753488192,0.07097361237488627,75597,156
687.5,0.060000774846276035,0.06915377616014559,65046,152
712.5,0.05601492870491825,0.06733393994540492,60725,148
737.5,0.03639932625271427,0.052775250227479524,39460,116
762.5,0.01145204347256583,0.026387625113739762,12415,58
787.5,0.0017323348885605017,0.008644222020018199,1878,19
812.5,0.00015127951103510238,0.00045495905368516835,164,1
837.5,3.689744171587863e-06,0.0,4,0
862.5,0.0,0.0,0,0
